Bairro,Homicidios,valor ,pop
AEROLANDIA,1.9312,17,"11,360"
AEROPORTO,0.17236,2,"8,618"
ALDEOTA,3.38888,8,"42,361"
ALTO DA BALANCA,1.2814,10,"12,814"
ALVARO WEYNE,4.9749,21,"23,690"
AMADEU FURTADO,0,0,"11,703"
ANCURI,3.6126,18,"20,070"
ANTONIO BEZERRA,4.13536,16,"25,846"
AUTRAN NUNES,3.81744,18,"21,208"
BARRA DO CEARA,50.6961,70,"72,423"
BARROSO,13.43115,45,"29,847"
BELA VISTA,2.84818,17,"16,754"
BENFICA,0.25908,2,"12,954"
BOM FUTURO,0,0,"6,405"
BOM JARDIM,20.01174,53,"37,758"
BONSUCESSO,10.2995,25,"41,198"
CAIS DO PORTO,4.25258,19,"22,382"
CAJAZEIRAS,1.59258,11,"14,478"
CAMBEBA,0.305,4,"7,625"
CANINDEZINHO,11.94858,29,"41,202"
CARLITO PAMPLONA,4.94292,17,"29,076"
CENTRO,8.5614,30,"28,538"
CIDADE 2000,0.4136,5,"8,272"
CIDADE DOS FUNCIONARIOS,1.64304,9,"18,256"
COAÇU,0,0,"7,188"
COCÓ,0.20492,1,"20,492"
CONJUNTO CEARA I,1.34547,7,"19,221"
CONJUNTO CEARA II,1.42038,6,"23,673"
CONJUNTO ESPERANCA,2.46075,15,"16,405"
CONJUNTO PALMEIRAS,16.83554,46,"36,599"
COUTO FERNANDES,0.2104,4,"5,260"
CRISTO REDENTOR,4.54189,17,"26,717"
CURIÓ,0.83996,11,"7,636"
DAMAS,0.21438,2,"10,719"
DE LOURDES,0,0,"3,370"
DEMÓCRITO ROCHA,0.5497,5,"10,994"
DENDÊ,0.28185,5,"5,637"
DIAS MACÊDO,1.2111,10,"12,111"
DIONÍSIO TORRES,0.46902,3,"15,634"
DOM LUSTOSA,0.52588,4,"13,147"
EDSON QUEIROZ,5.3304,24,"22,210"
FARIAS BRITO,0.12063,1,"12,063"
FATIMA,1.63163,7,"23,309"
FLORESTA,2.8896,10,"28,896"
GENIBAU,14.92432,37,"40,336"
GRANJA LISBOA,16.65344,32,"52,042"
GRANJA PORTUGAL,10.30926,26,"39,651"
GUAJERU,0,0,"6,668"
PATRIOLINO RIBEIRO,0.10532,2,"5,266"
HENRIQUE JORGE,1.61964,6,"26,994"
ITAOCA,1.2477,10,"12,477"
ITAPERI,1.80504,8,"22,563"
JACARECANGA,1.56244,11,"14,204"
JANGURUSSU,28.77303,57,"50,479"
JARDIM AMERICA,0.98112,8,"12,264"
JARDIM CEARENSE,0.10103,1,"10,103"
JARDIM DAS OLIVEIRAS,9.16701,31,"29,571"
JARDIM GUANABARA,0.89514,6,"14,919"
JARDIM IRACEMA,6.72336,29,"23,184"
JOAO XXIII,1.8398,10,"18,398"
JOAQUIM TAVORA,0.938,4,"23,450"
JOQUEI CLUBE,1.35317,7,"19,331"
JOSE BONIFACIO,0.26544,3,"8,848"
LAGOA REDONDA,3.63337,13,"27,949"
MARAPONGA,1.2186,12,"10,155"
MEIRELES,0.73964,2,"36,982"
MESSEJANA,19.17694,46,"41,689"
MONDUBIM,35.74068,47,"76,044"
MONTE CASTELO,1.5858,12,"13,215"
MONTESE,1.0388,4,"25,970"
MUCURIPE,1.3747,10,"13,747"
PADRE ANDRADE,0.77616,6,"12,936"
PANAMERICANO,0.61705,7,"8,815"
PAPICU,2.0207,11,"18,370"
PARANGABA,3.40417,11,"30,947"
PARQUE ARAXA,0,0,"6,715"
PARQUE DOIS IRMAOS,3.81304,14,"27,236"
PARQUE IRACEMA,0.16818,2,"8,409"
PARQUE MANIBURA,0,0,"7,529"
PARQUE PRESIDENTE VARGAS,0.64728,9,"7,192"
PARQUE SANTA ROSA,1.0232,8,"12,790"
PARQUE SAO JOSE,1.78262,17,"10,486"
PARQUELANDIA,0.86592,6,"14,432"
PARREAO,0,0,"11,072"
PASSARE,17.829,35,"50,940"
PAUPINA,1.7598,12,"14,665"
PEDRAS,0.01342,1,"1,342"
PICI,9.77362,23,"42,494"
PIRAMBU,6.7545,38,"17,775"
PLANALTO AYRTON SENNA,11.8338,30,"39,446"
PRAIA DE IRACEMA,0.3443,11,"3,130"
PRAIA DO FUTURO I,0.7956,12,"6,630"
PRAIA DO FUTURO II,1.43484,12,"11,957"
PREFEITO JOSE VALTER,8.35675,25,"33,427"
PRESIDENTE KENNEDY,0.46008,2,"23,004"
QUINTINO CUNHA,17.01972,36,"47,277"
RODOLFO TEOFILO,0.76456,4,"19,114"
SABIAGUABA,0.19053,9,"2,117"
SALINAS,0,0,"4,298"
SAO BENTO,0,0,"11,964"
SAO GERARDO,0.43515,3,"14,505"
SAO JOAO DO TAUAPE,6.62352,24,"27,598"
SAPIRANGA COITE,4.18054,13,"32,158"
SERRINHA,6.0417,21,"28,770"
SIQUEIRA,10.0884,30,"33,628"
VARJOTA,0.16842,2,"8,421"
VICENTE PINZON,15.47612,34,"45,518"
MANOEL SATIRO,3.41568,9,"37,952"
VILA PERY,1.2387,6,"20,645"
VILA UNIAO,1.5378,10,"15,378"
VILA VELHA,19.10127,31,"61,617"
,0,6,
BOA VISTA,0.12247,1,"12,247"
MOURA BRASIL,0.2259,6,"3,765"
MANUEL DIAS BRANCO,0.04341,3,"1,447"
JOSE DE ALENCAR,3.2006,20,"16,003"
VILA ELLERY,0.47178,6,"7,863"
ENG LUCIANO CAVALCANTE,0.15543,1,"15,543"
CASTELAO,,7,
GENTILANDIA,,0,